"Section","Item","Details"
"客户简介","客户","Oscar Yan"
"客户简介","资质","注册房地产经纪人 (REA) — E 08414"
"客户简介","监管机构","马来西亚估值师、评估师、房地产经纪及物业管理局 (BOVAEA)"
"客户简介","地点","马来西亚，新山 (Johor Bahru)"
"客户简介","网站比例","20% 个人品牌 + 80% 房源展示"
"项目目标","1. 建立专业形象","确立 Oscar 作为新山受信赖的 BOVAEA 认证商业地产专家的形象"
"项目目标","2. 房源展示中心","集中展示房源，供访客浏览、筛选和咨询"
"建议网站架构","结构包含","首页、关于/简介、数据统计栏、房源列表、客户评价、服务覆盖地图、联系部分、页脚"
"设计理念与风格","设计标准","UI-UX Pro Max 标准，极致用户体验"
"设计理念与风格","配色","#0A1628 (蓝), #C9A84C (金), #F8F9FA (白), #1A1A2E (黑)"
"详细板块拆解","房源详情页 (智能布局)","逻辑: 多媒体列表 (视频/音频) > 360 全景视图 (支持滑动) > 图片轮播。动态调整布局。"
"详细板块拆解","服务覆盖地图","视觉效果: Google Maps 定制样式。功能: 区域高亮, 点击筛选。"
"技术规格","托管","Google Cloud Run (容器化)"
"技术规格","分析","Google Analytics 4, Microsoft Clarity (Heatmap), Facebook Pixel"
"4-Agent Strategy","Package 1: Frontend Structure & UI/UX","Agent: Cursor + Claude 3.5 Sonnet. 任务: 组件库, 静态页面, 响应式, 动画。"
"4-Agent Strategy","Package 2: Backend & Infrastructure","Agent: Claude Code + Claude 3.5 Sonnet. 任务: Firebase Config, API Logic, Docker/Cloud Run, Admin API."
"4-Agent Strategy","Package 3: Complex Logic Core","Agent: Cursor + Gemini 1.5 Pro. 任务: 智能多媒体布局, 360 Viewer, Google Maps 交互, 状态管理。"
"4-Agent Strategy","Package 4: Integration, Analytics & Polish","Agent: Cursor + Claude 3.5 Sonnet. 任务: 模块集成, 数据埋点(GA4/Clarity), Admin 前端, SEO, 最终测试。"
